ID,Agree_IN,ASQ1,ASQ1A,ASQ1B,ASQ1C,ASQ2A,ASQ2AC,SQ1,SQ2,SQ3,SQ4,SQ5,SQ5A,SQ5AA,AQ1,ATQ1_7,AQ1A,AQ1B,Q1,Q1A,RQ1A,Q1B_1,Q1B_2,Q1B_3,Q1B_4,Q1B_5,Q1B_6,Q1B_7,Q1B_8,TQ1B_8,Q2,RQ2,Q3,RQ3,Q4,Q5,Q5A,Q6,Q6A,Q7,RQ7,Q7A_1_1,Q7A_1_2,Q7A_1_3,Q7A_1_4,TQ7A_1_4,Q7A_1_5,Q7A_2_1,Q7A_2_2,Q7A_2_3,Q7A_2_4,TQ7A_2_4,Q7A_2_5,Q7A_3_1,Q7A_3_2,Q7A_3_3,Q7A_3_4,TQ7A_3_4,Q7A_3_5,Q7A_4_1,Q7A_4_2,Q7A_4_3,Q7A_4_4,TQ7A_4_4,Q7A_4_5,Q7A_5_1,Q7A_5_2,Q7A_5_3,Q7A_5_4,TQ7A_5_4,Q7A_5_5,Q7A_6_1,Q7A_6_2,Q7A_6_3,Q7A_6_4,TQ7A_6_4,Q7A_6_5,Q7A_7_1,Q7A_7_2,Q7A_7_3,Q7A_7_4,TQ7A_7_4,Q7A_7_5,Q7A_8_1,Q7A_8_2,Q7A_8_3,Q7A_8_4,TQ7A_8_4,Q7A_8_5,Q7A_9_1,Q7A_9_2,Q7A_9_3,Q7A_9_4,TQ7A_9_4,Q7A_9_5,Q7A_10_1,Q7A_10_2,Q7A_10_3,Q7A_10_4,TQ7A_10_4,Q7A_10_5,Q7A_11_1,Q7A_11_2,Q7A_11_3,Q7A_11_4,TQ7A_11_4,Q7A_11_5,Q7A_12_1,Q7A_12_2,Q7A_12_3,Q7A_12_4,TQ7A_12_4,Q7A_12_5,Q7A_13_1,Q7A_13_2,Q7A_13_3,Q7A_13_4,TQ7A_13_4,Q7A_13_5,Q7A_14_1,Q7A_14_2,Q7A_14_3,Q7A_14_4,TQ7A_14_4,Q7A_14_5,Q7A_15_1,Q7A_15_2,Q7A_15_3,Q7A_15_4,TQ7A_15_4,Q7A_15_5,Q7A_16_1,Q7A_16_2,Q7A_16_3,Q7A_16_4,TQ7A_16_4,Q7A_16_5,Q7A_17_1,Q7A_17_2,Q7A_17_3,Q7A_17_4,TQ7A_17_4,Q7A_17_5,Q7A_18_1,Q7A_18_2,Q7A_18_3,Q7A_18_4,TQ7A_18_4,Q7A_18_5,Q7A_19_1,Q7A_19_2,Q7A_19_3,Q7A_19_4,TQ7A_19_4,Q7A_19_5,Q7A_20_1,Q7A_20_2,Q7A_20_3,Q7A_20_4,TQ7A_20_4,Q7A_20_5,DQ1,DQ2,TDQ2_10,DQ3,DQ3A,DQ4,DQ4A_1,DQ4A_2,DQ4A_3,DQ4A_4,DQ4A_5,DQ4A_6,DQ7A_7,TDQ4A_7,DQ5,TDQ5_11,DQ6,TDQ6_11,D_SQ1,D_SQ2,D_SQ3,D_SQ4,D_SQ5AA,D_DQ1,D_DQ2,D_DQ3,D_DQ3A,D_DQ4,D_DQ5,D_DQ6,WT
62,Y,,,,,,,2,40,1,1,2021-12-16 오전 11:49:52,3,5,,,,,1,24,6,,2,,,,,,,,3,3,3,3,7,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,4,1,1,,,,,,,,,3,,3,,2,8,1,1,1,1,3,3,1,1,2,2,1.14
63,Y,,,,,,,2,52,1,1,2021-12-16 오전 11:49:54,3,5,,,,,1,2,2,,2,,,,,,,,1,1,0,0,1,1,1,1,1,2,2,6,1,3,1,,1,9,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,5,1,4,1,2,,,,,,,1,,7,,2,9,1,1,1,3,,4,1,4,1,4,1.17
64,Y,,,,,,,1,51,1,1,2021-12-16 오후 12:34:05,3,5,,,,,1,5,3,,2,,,,,,,,2,2,1,1,1,1,1,1,1,3,3,8,2,2,1,,1,9,1,1,2,,2,5,2,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,4,1,2,,,,,,,6,,7,,1,9,1,1,1,1,2,3,2,4,3,4,1.14
65,Y,,,,,,,1,55,1,1,2021-12-16 오전 11:51:15,3,5,,,,,1,12,6,,2,,,,,,,,1,1,1,1,2,2,2,1,2,1,1,8,2,1,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,4,1,5,1,2,,,,,,,11,150000000,11,180000000,1,9,1,1,1,1,1,3,1,5,4,4,1.14
66,Y,,,,,,,1,33,1,1,2021-12-16 오전 11:53:48,3,5,,,,,1,9,5,,2,,,,,,,,5,4,0,0,3,1,1,1,5,10,5,3,1,5,3,,2,3,1,5,3,,2,3,1,5,3,,2,3,2,5,3,,2,3,2,5,3,,2,8,2,3,2,,2,9,2,3,2,,2,9,1,3,2,,2,8,2,3,2,,2,8,2,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,5,2,3,1,2,,,,,,,6,,8,,1,7,1,1,1,1,3,4,2,3,3,4,1.17
67,Y,,,,,,,2,27,1,1,2021-12-16 오전 11:51:08,3,5,,,,,1,17,6,,,3,4,5,,,,,1,1,0,0,4,2,2,1,4,5,4,7,1,1,2,,2,7,1,1,2,,2,8,1,1,2,,2,8,2,3,2,,2,8,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,2,,1,,,,,,,,,3,,3,,2,6,1,1,1,1,2,1,,1,2,2,1.27
68,Y,,,,,,,1,50,1,1,2021-12-16 오후 12:06:01,3,5,,,,,1,10,5,,2,,,,,,,,1,1,0,0,3,2,2,1,4,8,4,8,2,3,1,,1,5,2,3,1,,1,7,1,2,2,,2,7,2,3,2,,2,8,2,2,2,,2,7,1,2,2,,2,8,1,2,2,,2,6,2,1,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,4,2,3,1,2,,,,,,,11,150000000,11,170000000,1,9,1,1,1,1,1,3,2,3,4,4,1.14
69,Y,,,,,,,2,53,1,1,2021-12-16 오전 11:51:55,3,5,,,,,1,4,3,,2,,,,,,,,2,2,1,1,1,2,2,1,3,1,1,6,1,5,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,2,3,1,2,,,,,,,10,,11,150000000,2,9,1,1,1,3,,3,2,3,4,4,1.17
70,Y,,,,,,,2,51,1,1,2021-12-16 오전 11:59:13,3,5,,,,,1,8,4,,2,,,,,,,,5,4,2,2,1,1,1,1,1,1,1,8,2,1,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,4,2,2,,,3,,,,,,9,,10,,2,9,1,1,1,2,1,3,2,2,4,4,1.17
71,Y,,,,,,,1,38,9,2,2021-12-16 오전 11:54:12,3,5,,,,,1,10,5,,2,,,,,,,,2,2,1,1,3,2,3,1,3,6,4,12,2,1,1,,2,10,1,1,1,,2,10,2,1,1,,2,7,1,3,2,,2,7,1,2,2,,2,7,1,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,4,,,3,,5,,,,5,,8,,1,7,2,2,1,1,2,3,2,4,3,4,1.24
72,Y,,,,,,,2,38,9,3,2021-12-16 오전 11:53:23,3,5,,,,,1,8,4,,2,,,,,,,,2,2,0,0,3,2,3,2,2,4,3,4,1,4,1,,1,8,1,4,1,,2,7,2,4,5,,2,7,2,4,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,4,2,3,1,2,,,,,,,5,,6,,2,7,2,3,1,2,2,3,2,3,3,3,1.2
73,Y,,,,,,,1,41,9,2,2021-12-16 오전 11:51:57,3,5,,,,,1,6,4,,,3,4,,,,,,3,3,4,3,4,4,4,4,4,3,3,3,1,2,1,,1,3,2,3,1,,1,8,2,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,3,2,4,1,2,,,,,,,7,,8,,1,8,2,2,1,1,3,2,2,4,4,4,1.18
74,Y,,,,,,,2,28,9,2,2021-12-16 오전 11:52:48,3,5,,,,,1,11,5,,2,,,,,,,,2,2,1,1,2,1,1,1,3,5,4,7,2,3,2,,2,7,2,4,2,,2,6,1,4,2,,2,6,2,4,2,,1,10,2,5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,4,,,3,,,6,,,9,,11,250000000,2,6,2,2,1,1,2,3,2,4,4,4,1.26
75,Y,,,,,,,1,42,9,2,2021-12-16 오전 11:52:47,3,5,,,,,1,12,6,,2,,,,,,,,10,4,2,2,3,1,3,3,3,10,5,7,1,1,1,,2,4,1,1,5,,2,7,1,1,1,,1,8,2,3,4,,1,5,2,2,5,,2,3,1,1,3,,2,3,1,1,3,,2,4,2,2,3,,2,4,2,2,3,,2,4,2,2,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,4,1,3,1,2,,,,,,,7,,8,,1,8,2,2,1,1,1,3,1,3,4,4,1.18
